FID,lng,lat,Date
249,-74.27688871,40.78099048,20219
250,-74.27669765,40.78121591,20219
251,-74.2765466,40.78151192,20217
252,-74.27629322,40.78168779,20219
253,-74.27612168,40.78202069,20217
254,-74.27588397,40.78220975,20219
255,-74.27572092,40.78245989,20219
256,-74.27573722,40.78259224,20217
257,-74.27563452,40.78278465,20217
258,-74.27549727,40.78309025,20217
260,-74.27529053,40.78363511,20217
259,-74.27537505,40.78341507,20217
263,-74.27489578,40.78448958,20219
262,-74.27500403,40.78418635,20219
261,-74.27509302,40.78393949,20219
266,-74.27467346,40.78510058,20219
264,-74.27492461,40.78464713,20217
267,-74.27469343,40.78527016,20217
268,-74.27447935,40.78552328,20219
265,-74.27480983,40.78497041,20217
270,-74.27415515,40.78608274,20219
269,-74.27440782,40.78578855,20217
272,-74.2739408,40.78659159,20217
274,-74.2736303,40.78716675,20217
273,-74.27369369,40.78689756,202110
271,-74.27399569,40.78636759,202110
275,-74.27338103,40.78746171,202110
276,-74.27333975,40.78769808,20217
279,-74.27289996,40.78848444,20217
278,-74.27296281,40.78821413,202110
277,-74.27324467,40.78786521,20217
280,-74.27275957,40.78872345,20217
282,-74.27233848,40.78917927,202110
284,-74.27203397,40.78962523,202110
287,-74.27153687,40.79031581,202110
281,-74.27265517,40.78888377,20217
286,-74.2717214,40.79006185,202110
283,-74.27221734,40.78935678,202110
288,-74.27135672,40.79056661,202110
285,-74.27190961,40.78980222,202110
290,-74.27099598,40.79106843,202110
289,-74.27111623,40.79090159,202110
292,-74.27051741,40.79168858,202110
291,-74.27075969,40.79139465,202110
293,-74.27043897,40.79175546,202110
294,-74.2702762,40.79188751,201410
298,-74.26951666,40.79272733,202110
296,-74.26981114,40.79230542,202110
297,-74.26968633,40.79245647,20219
299,-74.26933239,40.79301569,202110
295,-74.27009086,40.79202515,202110
303,-74.26880484,40.79383314,202110
300,-74.26922163,40.7931797,202110
301,-74.26905241,40.79341737,202110
302,-74.2688873,40.79365795,202110
304,-74.26873356,40.79405656,202110
305,-74.26867635,40.79432665,202110
306,-74.26862549,40.79459536,202110
307,-74.26853631,40.79494023,202110
308,-74.26841633,40.79518158,202110
309,-74.26822436,40.7954601,202110
310,-74.26799837,40.79577814,202110
314,-74.26739999,40.79695886,202110
311,-74.26778294,40.79609832,202110
312,-74.26763592,40.79634676,202110
313,-74.26758139,40.79667103,202110
315,-74.26723175,40.79719906,20218
318,-74.26671037,40.79774378,20227
317,-74.26690064,40.79762803,20198
316,-74.26706189,40.79741551,202110
319,-74.26648115,40.79810643,202110
320,-74.26628963,40.79833614,202110
321,-74.26616177,40.79849089,202110
322,-74.26598018,40.79872462,202110
323,-74.26580854,40.79897466,202110
324,-74.26569867,40.79932543,20159
325,-74.26564745,40.79951046,20218
326,-74.26562901,40.79958893,20218
327,-74.26557842,40.79983729,20218
328,-74.26553043,40.80009363,20218
329,-74.26551941,40.80043887,20198
330,-74.26541976,40.80066267,202010
332,-74.2651917,40.80118829,20218
334,-74.26496418,40.8016845,20188
333,-74.26503778,40.80151753,20218
336,-74.26473057,40.80227869,20218
337,-74.26456412,40.80261906,20198
335,-74.26470909,40.80196187,20218
339,-74.26431869,40.80322372,20218
338,-74.26445041,40.80296008,20218
340,-74.26414902,40.80353666,20218
344,-74.26366308,40.80422395,20218
341,-74.26403861,40.80371425,20218
346,-74.26334755,40.80463851,20218
347,-74.26318646,40.80484921,20218
345,-74.26341031,40.80455492,20218
349,-74.26279231,40.80535298,20218
348,-74.26305753,40.80501554,20218
350,-74.26260105,40.80561728,20218
351,-74.26248474,40.8058006,20218
353,-74.26228417,40.80618164,20218
354,-74.26213732,40.80649879,20159
356,-74.261926,40.80696192,20159
358,-74.26172355,40.80738475,20159
360,-74.26145815,40.80793953,20218
361,-74.26133691,40.8082019,20218
363,-74.2610494,40.80884998,20218
364,-74.26097678,40.80902325,20218
365,-74.26091034,40.8091979,20218
362,-74.26118156,40.80854724,20218
366,-74.26083208,40.80941981,20218
367,-74.26077272,40.80959959,20218
368,-74.2606693,40.80992556,20218
370,-74.26081632,40.81029352,20218
369,-74.26050928,40.81017851,201710
373,-74.2617437,40.81058033,20218
371,-74.26105629,40.81036956,20218
372,-74.26139744,40.81048119,20218
374,-74.26205208,40.81070698,20218
376,-74.26253327,40.8108985,20218
375,-74.26231586,40.81082757,20218
377,-74.26291166,40.8109933,20218
378,-74.26323822,40.81109911,20218
381,-74.26423068,40.81140364,20218
379,-74.26350075,40.81118357,20218
383,-74.26490025,40.81168878,20198
384,-74.26529342,40.81176332,20218
382,-74.26449947,40.81149318,20218
380,-74.26383231,40.81128337,20218
385,-74.26566124,40.81189041,20218
386,-74.2661854,40.8120729,20218
387,-74.26644498,40.81216085,20218
389,-74.2670798,40.81237775,20218
390,-74.26732934,40.81245812,20218
388,-74.26670464,40.81224738,20218
391,-74.26764022,40.81253694,20218
393,-74.26827916,40.81262228,20218
392,-74.26802102,40.81260033,20218
395,-74.26918582,40.81258272,20218
396,-74.26957271,40.81251203,20218
394,-74.26879409,40.81262378,20218
397,-74.27004286,40.81241866,20218
398,-74.27043933,40.81234245,20218
399,-74.27068171,40.81230273,20218
400,-74.27103887,40.81225993,20218
401,-74.27115822,40.81224573,20218
402,-74.27168397,40.8121986,20218
403,-74.2719259,40.81218753,20218
404,-74.27216729,40.81218558,20218
405,-74.27265257,40.81220917,20218
406,-74.27300937,40.8123371,20198
408,-74.27368402,40.81228063,20218
409,-74.27397268,40.81242523,20218
407,-74.27338676,40.81225408,20218
410,-74.27427987,40.81242581,20218
411,-74.27468734,40.81260934,20218
412,-74.27480669,40.8127853,20218
413,-74.2750658,40.81297967,20218
414,-74.27523923,40.81311281,20218
415,-74.27550739,40.81331884,20218
416,-74.27591602,40.81352333,20218
417,-74.27622348,40.81375933,20218
418,-74.27637452,40.81387797,20218
419,-74.27662208,40.81406688,20218
420,-74.27687269,40.81425908,20218
421,-74.27712212,40.81445179,20218
422,-74.27745573,40.81470989,20218
423,-74.27770445,40.81490394,20218
424,-74.27788799,40.81506968,20198
425,-74.27812436,40.81522884,20218
426,-74.27841767,40.81545261,20218
427,-74.27862896,40.81561551,20218
428,-74.27879693,40.81574622,20218
429,-74.27904574,40.81593892,20218
430,-74.27925533,40.81610015,20218
